account_id,budget_id,ynab_account_id,id,name,parent_id,type,side,currency,institution,notes,apr_bps,credit_limit_cents,budget_id,ynab_account_id,name,type,on_budget,closed,note,balance,cleared_balance,uncleared_balance,transfer_payee_id,direct_import_linked,direct_import_in_error,last_reconciled_at,deleted,updated_at_utc
,,,invest,Investments,,INVESTMENT,debit,USD,,,,,,,,,,,,,,,,,,,,
,,,invest.medcom,Medcom,invest,INVESTMENT,debit,USD,Medcom,,,,,,,,,,,,,,,,,,,
,,,invest.fidelity.inap401k,"Fidelity INAP 401K",invest,INVESTMENT,debit,USD,Fidelity,,,,,,,,,,,,,,,,,,,
,,,invest.fidelity.mdf401k,"Fidelity MDF 401K",invest,INVESTMENT,debit,USD,Fidelity,,,,,,,,,,,,,,,,,,,
,,,invest.principal.p2s401k,"Principal #1 (P2S 401K)",invest,INVESTMENT,debit,USD,Principal,,,,,,,,,,,,,,,,,,,
,,,invest.principal.p2sesop,"Principal #2 (P2S ESOP)",invest,INVESTMENT,debit,USD,Principal,,,,,,,,,,,,,,,,,,,
,,,invest.etrade,Etrade,invest,INVESTMENT,debit,USD,E*TRADE,,,,,,,,,,,,,,,,,,,
,,,home,Home,,ASSET,debit,USD,,,,,,,,,,,,,,,,,,,,
,,,house.value,"House Value",home,ASSET,debit,USD,,,,,,,,,,,,,,,,,,,,
,,,mortgage,Mortgage,,LIABILITY,credit,USD,,,,,,,,,,,,,,,,,,,,
,,,mortgage.primary.movement,"Mortgage (Movement)",mortgage,LIABILITY,credit,USD,"Movement Mortgage",,,,,,,,,,,,,,,,,,,
,,,mortgage.tva.second,"TVA 2nd Mortgage",mortgage,LIABILITY,credit,USD,TVA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,27f8801d-262c-433b-b49a-95603c75e9e6,d15266a6-b1f3-4431-88b4-9ddfe3cc873e,"PayPal - PayPal",checking,1,0,,44330,44330,0,b3e33758-d059-4be8-8654-a64189a3469e,0,0,,0,2025-10-13T11:21:54.114713
,,,,,,,,,,,,,27f8801d-262c-433b-b49a-95603c75e9e6,8c7cbfa7-0db6-453b-a763-f813120cca73,"BankAmericard Rewards World Mastercard Card - BankAmericard Rewards World Mastercard Card",creditCard,1,0,,-21247650,-21297650,50000,231bb3f9-999e-4fc5-a262-39f3331247b9,1,0,2025-07-18T02:24:34+00:00,0,2025-10-13T11:21:54.114713
,,,,,,,,,,,,,27f8801d-262c-433b-b49a-95603c75e9e6,becdaf50-4c74-4f3e-bee1-81708020e88e,"Customized Cash Rewards Visa Signature - Customized Cash Rewards Visa Signature",creditCard,1,0,,66490,66490,0,9ec63141-a2af-42e0-80fc-1bd4df296703,1,0,2025-07-18T02:25:02+00:00,0,2025-10-13T11:21:54.114713
,,,,,,,,,,,,,27f8801d-262c-433b-b49a-95603c75e9e6,d2f6a22f-dba7-463e-9856-a238d99cf63c,"MEMBERSHIP ACCOUNT - MEMBERSHIP ACCOUNT",savings,1,0,,59230,59230,0,eb252709-1275-4b1e-b054-f7734124f09d,1,0,,0,2025-10-13T11:21:54.114713
,,,,,,,,,,,,,27f8801d-262c-433b-b49a-95603c75e9e6,f0cb8c40-fd16-4d15-8902-231f531c6cfe,"Tva Credit Union",checking,1,0,,5052400,5118400,-66000,d53dc30c-980d-47b9-ac76-9835271171e8,1,0,2025-06-22T13:59:48+00:00,0,2025-10-13T11:21:54.115704
,,,,,,,,,,,,,27f8801d-262c-433b-b49a-95603c75e9e6,3b3bd425-d137-42b4-aa2d-59afe63a593c,"2020 RAM 1500 (Carmax)",autoLoan,0,0,,-39349770,-42468050,3118280,118296b4-2b58-4c43-92d9-44ea52c6250d,0,0,,0,2025-10-13T11:21:54.115704
